idx,lng_gcj02,lat_gcj02,lng_wgs84,lat_wgs84,speed_kmh,altitude_m
0,116.2828721,40.0967729,116.27680176689806,40.09552753849274,0.1,37.7
1,116.2824403,40.0967408,116.27637051800131,40.09549594871686,27.0,37.1
2,116.2819705,40.0965666,116.27590132643486,40.095322307812495,34.9,37.1
3,116.2814148,40.0963715,116.27534633301875,40.095127859605164,34.8,36.0
4,116.2808648,40.0961763,116.27479702001611,40.09493329549934,31.6,35.6
5,116.2804238,40.0959321,116.27435657274566,40.09468960509862,24.3,34.5
6,116.2806601,40.095594,116.27459263644064,40.09435126758225,35.7,33.9
7,116.281111,40.0952519,116.27504304102605,40.09400868702342,36.9,33.7
8,116.2814925,40.094955,116.27542411619399,40.09371137602875,37.1,33.2
9,116.2819473,40.094603,116.27587840162876,40.09335888002801,36.8,33.2
10,116.2823321,40.0943165,116.27626275819992,40.09307195455904,36.9,33.5
11,116.2827988,40.0939751,116.27672891151146,40.09273003200915,37.0,33.5
12,116.2832646,40.0936321,116.27719415734397,40.09238650403262,36.8,33.3
13,116.2837206,40.093287,116.27764960753149,40.09204088150171,36.7,33.3
14,116.2840311,40.0930588,116.27795972753262,40.091812321635565,36.9,33.2
15,116.2845813,40.0926625,116.27850924374572,40.091415376324136,37.0,33.2
16,116.2847185,40.0923011,116.27864630433449,40.091053833053444,28.0,32.8
17,116.2842385,40.092086,116.2781669745623,40.09083933917951,34.1,33.4
18,116.2837386,40.0918655,116.27766776239422,40.09061946294222,27.3,33.1
19,116.28325,40.0916605,116.27717982368137,40.09041506465446,31.2,32.6
20,116.2827606,40.091444,116.27669107779163,40.090199160975985,32.3,32.7
21,116.2822486,40.0912271,116.27617975047826,40.08998287639172,36.0,32.9
22,116.2816676,40.0910198,116.27559949593628,40.08977626227875,37.8,32.7
23,116.2811626,40.0908381,116.27509513275113,40.08959515013895,38.7,31.0
24,116.2806385,40.090685,116.27457167798451,40.08944264935009,38.5,29.1
25,116.280123,40.0905081,116.27405680470893,40.08926633227078,38.5,27.3
26,116.2797066,40.0903771,116.27364090128101,40.089135796196004,38.1,26.5
27,116.2791898,40.09023,116.27312470541285,40.08898926326519,36.0,26.8
28,116.2786178,40.0900639,116.27255336119248,40.0888237812506,35.1,29.6
29,116.2780485,40.0898883,116.27198470120297,40.088648786662255,35.0,31.1
30,116.2774883,40.0897078,116.2714251182575,40.088468872753204,35.0,31.4
31,116.2769298,40.0895183,116.27086722102624,40.08827994760942,35.0,33.3
32,116.2763623,40.0893456,116.27030031700836,40.088107819881394,31.2,34.0
33,116.275817,40.0891748,116.26975557689717,40.08793756013835,26.8,33.6
34,116.275202,40.0890161,116.26914118825361,40.08777945524,22.9,33.9
35,116.274684,40.0888281,116.26862369688747,40.087591950561716,25.2,33.5
36,116.2741981,40.0886401,116.26813826450542,40.08740440784106,28.6,33.5
37,116.2737216,40.088485,116.26766220905692,40.0872497464832,31.0,33.8
38,116.2732305,40.088335,116.26717155521652,40.08710018983146,28.6,33.4
39,116.272646,40.0881591,116.26658757156879,40.086924806624026,27.0,32.5
40,116.2721635,40.0880103,116.26610548647109,40.086776424688196,23.7,31.7
41,116.271705,40.0878526,116.26564737284923,40.086619115695584,23.9,31.5
42,116.2711271,40.0876763,116.26506994318426,40.08644329661247,24.9,30.6
43,116.2705908,40.087576,116.26453405785324,40.08634342810935,25.5,30.3
44,116.2700493,40.0874541,116.26399296551118,40.08622195508,28.8,30.2
45,116.2694585,40.0872546,116.26340260293648,40.08602291388358,7.7,30.0
46,116.2697021,40.0870348,116.26364606240537,40.085802947344945,27.8,32.6
47,116.2700943,40.0867611,116.26403802024787,40.08552896920201,34.9,30.2
48,116.2705768,40.086459,116.26452020811917,40.085226517189284,34.9,30.2
49,116.2710941,40.0862033,116.26503715287335,40.08497042600142,34.6,31.6
50,116.2715685,40.0859215,116.26551122208876,40.08468826236547,34.6,33.5
51,116.2720506,40.0856251,116.26599297652756,40.084391485533104,34.9,33.9
52,116.2725581,40.085359,116.26650009544285,40.08412497700563,35.6,35.5
53,116.2730975,40.0850981,116.26703907471443,40.08386363160217,35.8,35.7
54,116.2736161,40.0848435,116.2675572581673,40.083608594277806,34.2,35.0
55,116.2741081,40.0845825,116.26804885414057,40.083347172288796,34.7,34.2
56,116.2746019,40.0843036,116.2685422397671,40.08306784169945,35.0,33.8
57,116.2750883,40.0840158,116.26902822253017,40.08277961044543,34.9,33.0
58,116.2755673,40.0837291,116.26950680171413,40.08249247824063,34.1,32.8
59,116.276049,40.0834453,116.26998806766731,40.082208235589114,34.7,32.9
60,116.2765346,40.0831601,116.27047321960102,40.081922581518135,35.1,32.8
61,116.2770156,40.0828706,116.27095376642492,40.081632624572535,35.3,32.9
62,116.2775051,40.0825826,116.27144279401388,40.08134415132595,35.2,32.6
63,116.2779901,40.0822915,116.27192731638013,40.08105257512925,35.3,32.3
64,116.2784718,40.0819991,116.2724085323314,40.08075969486114,34.5,31.9
65,116.2789356,40.0816911,116.27287186015394,40.08045122717417,34.8,32.4
66,116.2793805,40.0813718,116.27331630156094,40.08013147368255,34.8,32.0
67,116.2798191,40.0810378,116.27375444363045,40.07979702173298,34.8,31.9
68,116.2802375,40.0806901,116.27417240285365,40.07944888686587,35.1,32.3
69,116.2806458,40.0803345,116.27458026766111,40.07909285825868,35.1,32.3
70,116.2810191,40.079962,116.27495316961237,40.07871996497159,35.0,32.1
71,116.2813945,40.079588,116.27532816340118,40.07834556502498,34.9,31.6
72,116.281772,40.0792148,116.27570524867114,40.077971958215855,34.9,31.9
73,116.2821404,40.0788363,116.27607324007286,40.07759305789878,34.9,32.2
74,116.2825105,40.0784608,116.276442923395,40.07721715119979,34.8,32.2
75,116.2828728,40.0780833,116.2768048113356,40.076839249652025,35.0,31.7
76,116.283215,40.0776901,116.27714662184694,40.076445669108026,35.0,31.7
77,116.2835208,40.0772883,116.27745207611791,40.07604352932864,34.7,31.4
78,116.2838228,40.076879,116.27775373256873,40.075633891786616,34.8,31.1
79,116.2841036,40.0764581,116.27803421492686,40.07521267808093,34.8,32.0
80,116.2843856,40.0760386,116.27831589237017,40.0747928604081,34.8,32.1
81,116.2846781,40.0756245,116.27860805183948,40.07437842699543,35.0,32.3
82,116.2849533,40.0752023,116.27888293245941,40.073955913061226,34.7,32.4
83,116.2852426,40.0747881,116.27917188979411,40.073541378672346,34.9,32.8
84,116.2855255,40.074373,116.27945445281057,40.07312594991424,35.0,33.0
85,116.2858028,40.0739511,116.27973142136211,40.07270372631852,35.2,33.3
86,116.2860666,40.0735201,116.27999490700685,40.07227241825711,35.2,33.4
87,116.2863163,40.0730921,116.28024430949803,40.071844126038044,29.0,33.6
88,116.2865438,40.0727001,116.2804715366148,40.07145185831995,32.3,34.2
89,116.2867808,40.0722873,116.28070825078936,40.07103877807736,31.6,34.2
90,116.2870343,40.0718181,116.28096144617025,40.07056927824455,35.1,34.7
91,116.2872868,40.071372,116.28121363766613,40.07012287637007,36.5,34.5
92,116.2875448,40.0709183,116.28147131969271,40.06966886586266,37.0,34.5
93,116.2877163,40.0706146,116.28164260720834,40.069364958520936,36.5,34.1
94,116.2880316,40.0700913,116.28195750929076,40.06884127290942,36.5,33.7
95,116.2882748,40.0696443,116.28220040527911,40.06839397623508,35.8,33.5
96,116.2885506,40.0692078,116.28247584902671,40.067957133350326,35.9,33.7
97,116.2888443,40.0687773,116.28276916226112,40.06752626371521,35.9,34.1
98,116.2890695,40.0684183,116.28299406718621,40.06716698044464,36.1,34.6
99,116.289389,40.0679086,116.28331314542388,40.06665687614361,36.4,34.9
100,116.2896445,40.0674621,116.28356831036241,40.06621005317711,36.2,34.9
101,116.2898985,40.0670113,116.28382197580082,40.06575893072542,36.2,34.8
102,116.2901513,40.0665608,116.28407444074828,40.065308108127816,36.3,34.6
103,116.2903635,40.0661846,116.28428635749698,40.06493163585508,36.0,34.5
104,116.2906044,40.0657321,116.28452693718494,40.064478826802,35.9,34.0
105,116.2908528,40.065284,116.28477500242722,40.06403040533066,36.2,33.7
106,116.2911439,40.0647643,116.2850657066765,40.06351032612644,36.1,34.4
107,116.2913893,40.0643111,116.28531077264242,40.06305680557847,36.3,34.7
108,116.2916005,40.0639106,116.2855216847931,40.06265602902781,19.3,34.7
